loinc_num,component,system,scale_typ,long_common_name,example_ucum_units,displayname
"5894-1","Coagulation tissue factor induced actual/Normal","PPP","Qn","Prothrombin time (PT) actual/Normal","%","PT actual/normal Coag (PPP) [Relative time]"
"3193-0","Coagulation factor V activity actual/Normal","PPP","Qn","Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay","%","Coagulation factor V activity actual/normal Coag (PPP) [Relative time]"
"27816-8","von Willebrand factor Ag actual/Normal","PPP","Qn","von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunoassay","%","vWf Ag actual/normal IA (PPP) [Relative mass conc]"
"3218-5","Coagulation factor X activity actual/Normal","PPP","Qn","Coagulation factor X activity actual/normal in Platelet poor plasma by Coagulation assay","%","Coagulation factor X activity actual/normal Coag (PPP) [Relative time]"
"24472-3","Platelet function.collagen+Adenosine diphosphate induced","Bld","Qn","Platelet function (closure time) collagen+ADP induced [Time] in Blood","s","Platelet function (closure time) collagen+ADP induced (Bld) [Time]"
"27811-9","Antithrombin actual/Normal","PPP","Qn","Antithrombin actual/normal in Platelet poor plasma by Chromogenic method","%","Antithrombin actual/normal Chromogenic method (PPP) [Rel catalytic activity/Vol]"
"27821-8","Protein S.free Ag actual/Normal","PPP","Qn","Protein S Free Ag actual/normal in Platelet poor plasma by Immunoassay","%","Protein S Free Ag actual/normal IA (PPP) [Relative mass conc]"
"53622-7","von Willebrand factor cleaving protease actual/normal","PPP","Qn","von Willebrand factor (vWf) cleaving protease actual/normal in Platelet poor plasma by Chromogenic method","%","vWf cleaving protease actual/normal Chromogenic method (PPP) [Rel catalytic activity/Vol]"
"8123-2","Cells.CD3+CD4+/100 cells","Bld","Qn","CD3+CD4+ (T4 helper) cells/100 cells in Blood","%","CD3+CD4+ (T4 helper) cells/100 cells (Bld)"
"24467-3","Cells.CD3+CD4+","Bld","Qn","CD3+CD4+ (T4 helper) cells [#/volume] in Blood","/uL","CD3+CD4+ (T4 helper) cells (Bld) [#/Vol]"
"2708-6","Oxygen saturation","BldA","Qn","Oxygen saturation in Arterial blood","%","SaO2% (BldA) [Mass fraction]"
"14775-1","Hemoglobin","BldA","Qn","Hemoglobin [Mass/volume] in Arterial blood by Oximetry","g/dL","Hemoglobin Oximetry (BldA) [Mass/Vol]"
"34581-9","Calcium.ionized","BldA","Qn","Calcium.ionized [Moles/volume] in Arterial blood","mmol/L","Calcium.ionized (BldA) [Moles/Vol]"
"2030-5","Carboxyhemoglobin/Hemoglobin.total","BldA","Qn","Carboxyhemoglobin/Hemoglobin.total in Arterial blood","%","Carboxyhemoglobin (BldA) [Mass fraction]"
"60834-9","Body temperature","Bld","Qn","Blood temperature","Cel;[degF]",""
"1960-4","Bicarbonate","BldA","Qn","Bicarbonate [Moles/volume] in Arterial blood","mmol/L","HCO3 (BldA) [Moles/Vol]"
"2021-4","Carbon dioxide","BldV","Qn","Carbon dioxide [Partial pressure] in Venous blood","mm[Hg]","CO2 (BldV) [Partial pressure]"
"19216-1","Oxygen^^saturation adjusted to 0.5","BldV","Qn","Oxygen [Partial pressure] saturation adjusted to 0.5 in Venous blood","mm[Hg]","Oxygen saturation adjusted to 0.5 (BldV) [Partial pressure]"
"2692-2","Osmolality","Ser/Plas","Qn","Osmolality of Serum or Plasma","mosm/kg","Osmolality [Osmolality]"
"62238-1","Glomerular filtration rate/1.73 sq M.predicted","Ser/Plas/Bld","Qn","Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)","mL/min/{1.73_m2}","GFR/1.73 sq M.predicted CKD-EPI (S/P/Bld) [Vol rate/Area]"
"14630-8","Bilirubin.non-glucuronidated","Ser/Plas","Qn","Bilirubin.indirect [Moles/volume] in Serum or Plasma","umol/L","Bilirubin.indirect [Moles/Vol]"
"77367-1","Cholinesterase^dibucaine","Ser/Plas","Qn","Cholinesterase [Enzymatic activity/volume] in Serum or Plasma by calculation --Dibucaine","ukat/L","Cholinesterase Dibucaine Calc [Catalytic activity/Vol]"
"39469-2","Cholesterol.in LDL","Ser/Plas","Qn","Cholesterol in LDL [Moles/volume] in Serum or Plasma by calculation","mmol/L","Cholesterol in LDL Calc [Moles/Vol]"
"6768-6","Alkaline phosphatase","Ser/Plas","Qn","Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma","U/L","ALP [Catalytic activity/Vol]"
"2157-6","Creatine kinase","Ser/Plas","Qn","Creatine kinase [Enzymatic activity/volume] in Serum or Plasma","U/L","CK [Catalytic activity/Vol]"
"14749-6","Glucose","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma","mmol/L","Glucose [Moles/Vol]"
"14801-5","Iron saturation","Ser/Plas","Qn","Iron saturation [Molar fraction] in Serum or Plasma","%","Iron saturation [Molar fraction]"
"50168-4","Alanine aminotransferase","Dial fld","Qn","Alanine aminotransferase [Enzymatic activity/volume] in Dialysis fluid","U/L","ALT (Dial fld) [Catalytic activity/Vol]"
"2071-9","Chloride","Dial fld","Qn","Chloride [Moles/volume] in Dialysis fluid","mmol/L","Chloride (Dial fld) [Moles/Vol]"
"15051-6","Creatinine","Dial fld","Qn","Creatinine [Moles/volume] in Dialysis fluid","umol/L","Creatinine (Dial fld) [Moles/Vol]"
"48996-3","Amylase.pancreatic","Body fld","Qn","Amylase.pancreatic [Enzymatic activity/volume] in Body fluid","U/L","Amylase.pancreatic (Body fld) [Catalytic activity/Vol]"
"1919-0","Aspartate aminotransferase","Body fld","Qn","Aspartate aminotransferase [Enzymatic activity/volume] in Body fluid","U/L","AST (Body fld) [Catalytic activity/Vol]"
"16503-5","C reactive protein","Body fld","Qn","C reactive protein [Mass/volume] in Body fluid","mg/dL","CRP (Body fld) [Mass/Vol]"
"2821-7","Potassium","Body fld","Qn","Potassium [Moles/volume] in Body fluid","mmol/L","Potassium (Body fld) [Moles/Vol]"
"2950-4","Sodium","Body fld","Qn","Sodium [Moles/volume] in Body fluid","mmol/L","Sodium (Body fld) [Moles/Vol]"
"46426-3","Icteric interference index","Ser/Plas","Qn","Icteric interference index of Serum or Plasma","[arb'U]/mL","Icteric interference index Qn"
"46424-8","Hemolysis interference index","Ser/Plas","Qn","Hemolysis interference index of Serum or Plasma","[arb'U]/mL","Hemolysis interference index Qn"
"45194-8","Choriogonadotropin.intact+Beta subunit","Ser/Plas","Qn","Choriogonadotropin.intact+Beta subunit [Units/volume] in Serum or Plasma","m[IU]/mL","HCG.intact+Beta subunit Qn"
"83121-4","Thyroxine.free","Ser/Plas","Qn","Thyroxine (T4) free [Moles/volume] in Serum or Plasma by Immunoassay","pmol/L","Free T4 IA [Moles/Vol]"
"44917-3","Cortisol^post dose dexamethasone","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --post dose dexamethasone","nmol/L","Cortisol post dose dexamethasone [Moles/Vol]"
"32311-3","Cortisol^1H post XXX challenge","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --1 hour post XXX challenge","nmol/L","Cortisol 1 Hr post Unsp challenge [Moles/Vol]"
"77930-6","Cortisol^4H post XXX challenge","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --4 hours post XXX challenge","nmol/L","Cortisol 4 Hr post Unsp challenge [Moles/Vol]"
"2857-1","Prostate specific Ag","Ser/Plas","Qn","Prostate specific Ag [Mass/volume] in Serum or Plasma","ng/mL","Prostate specific Ag [Mass/Vol]"
"17843-4","Cancer Ag 72-4","Ser/Plas","Qn","Cancer Ag 72-4 [Units/volume] in Serum or Plasma","[arb'U]/mL","Cancer Ag 72-4 Qn"
"83114-9","S100 calcium binding protein B","Ser","Qn","S100 calcium binding protein B [Mass/volume] in Serum by Immunoassay","ug/L","S100 calcium binding protein B IA (S) [Mass/Vol]"
"25671-9","Glucose^30M post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --30 minutes post XXX challenge","mmol/L","Glucose 30 Min post Unsp challenge [Moles/Vol]"
"25679-2","Glucose^1.5H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --1.5 hours post XXX challenge","mmol/L","Glucose 1.5 Hr post Unsp challenge [Moles/Vol]"
"40161-2","Glucose^2.5H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --2.5 hours post XXX challenge","mmol/L","Glucose 2.5 Hr post Unsp challenge [Moles/Vol]"
"13964-2","Methylmalonate","Ser/Plas","Qn","Methylmalonate [Moles/volume] in Serum or Plasma","nmol/L;umol/L","Methylmalonate [Moles/Vol]"
"10633-6","Zinc","Semen","Qn","Zinc [Moles/volume] in Semen","umol/L","Zinc (Sem) [Moles/Vol]"
"2731-8","Parathyrin.intact","Ser/Plas","Qn","Parathyrin.intact [Mass/volume] in Serum or Plasma","pg/mL","Parathyrin.intact [Mass/Vol]"
"6875-9","Cancer Ag 15-3","Ser/Plas","Qn","Cancer Ag 15-3 [Units/volume] in Serum or Plasma","[arb'U];[arb'U]/mL","Cancer Ag 15-3 Qn"
"2520-5","Lactate","CSF","Qn","Lactate [Moles/volume] in Cerebral spinal fluid","mmol/L","Lactate (CSF) [Moles/Vol]"
"14744-7","Glucose","CSF","Qn","Glucose [Moles/volume] in Cerebral spinal fluid","mmol/L","Glucose (CSF) [Moles/Vol]"
"60024-7","Lactate dehydrogenase","CSF","Qn","Lactate dehydrogenase [Enzymatic activity/volume] in Cerebral spinal fluid by Lactate to pyruvate reaction","U/L","LDH Lactate to pyruvate reaction (CSF) [Catalytic activity/Vol]"
"33863-2","Cystatin C","Ser/Plas","Qn","Cystatin C [Mass/volume] in Serum or Plasma","mg/L","Cystatin C [Mass/Vol]"
"2885-2","Protein","Ser/Plas","Qn","Protein [Mass/volume] in Serum or Plasma","g/dL","Protein [Mass/Vol]"
"70155-7","Barbiturates","Urine","Ord","Barbiturates [Presence] in Urine by Screen method >200 ng/mL","","Barbiturates Screen method >200 ng/mL Ql (U)"
"70145-8","Cannabinoids","Urine","Ord","Cannabinoids [Presence] in Urine by Screen method >50 ng/mL","","Cannabinoids Screen method >50 ng/mL Ql (U)"
"70149-0","Methadone","Urine","Ord","Methadone [Presence] in Urine by Screen method >300 ng/mL","","Methadone Screen method >300 ng/mL Ql (U)"
"19321-9","6-Monoacetylmorphine","Urine","Ord","6-Monoacetylmorphine (6-MAM) [Presence] in Urine by Screen method","","6-Monoacetylmorphine (6-MAM) Screen Ql (U)"
"16429-3","Barbiturates","Urine","Ord","Barbiturates [Presence] in Urine by Confirmatory method","","Barbiturates Confirm Ql (U)"
"19289-8","Cannabinoids","Urine","Ord","Cannabinoids [Presence] in Urine by Confirmatory method","","Cannabinoids Confirm Ql (U)"
"3539-4","Dextromethorphan","Urine","Ord","Dextromethorphan [Presence] in Urine","","Dextromethorphan Ql (U)"
"19578-4","Methylphenidate","Urine","Ord","Methylphenidate [Presence] in Urine by Confirmatory method","","Methylphenidate Confirm Ql (U)"
"19683-2","Psilocin","Urine","Ord","Psilocin [Presence] in Urine by Confirmatory method","","Psilocin Confirm Ql (U)"
"46976-7","Benzodiazepines","Ser/Plas","Ord","Benzodiazepines [Presence] in Serum or Plasma by Screen method","","Benzodiazepines Screen Ql"
"8219-8","Opiates","Ser/Plas","Ord","Opiates [Presence] in Serum or Plasma by Screen method","","Opiates Screen Ql"
"66127-2","Amphetamine","Ser/Plas","Ord","Amphetamine [Presence] in Serum or Plasma by Confirmatory method","","Amphetamine Confirm Ql"
"8190-1","Cocaine","Ser/Plas","Ord","Cocaine [Presence] in Serum or Plasma by Confirmatory method","","Cocaine Confirm Ql"
"3772-1","Methadone","Ser/Plas","Qn","Methadone [Mass/volume] in Serum or Plasma","ng/mL","Methadone [Mass/Vol]"
"8218-0","Opiates","Ser/Plas","Ord","Opiates [Presence] in Serum or Plasma by Confirmatory method","","Opiates Confirm Ql"
"31081-3","Benzodiazepines","Meconium","Ord","Benzodiazepines [Presence] in Meconium by Screen method","","Benzodiazepines Screen Ql (Mec)"
"43595-8","Methadone","Meconium","Ord","Methadone [Presence] in Meconium","","Methadone Ql (Mec)"
"74859-0","Ethanol","Bld","Qn","Ethanol [Mass/volume] in Blood Estimated from serum or plasma level","%","Ethanol Estimated from serum or plasma level (Bld) [Mass/Vol]"
"41467-2","Benzodiazepines/Creatinine","Urine","Qn","Benzodiazepines/Creatinine [Mass Ratio] in Urine","ng/g{creat}","Benzodiazepines/Creatinine (U) [Mass ratio]"
"3772-1","Methadone","Ser/Plas","Qn","Methadone [Mass/volume] in Serum or Plasma","ng/mL","Methadone [Mass/Vol]"
"3772-1","Methadone","Ser/Plas","Qn","Methadone [Mass/volume] in Serum or Plasma","ng/mL","Methadone [Mass/Vol]"
"11252-4","Scopolamine","Ser/Plas","Qn","Scopolamine [Mass/volume] in Serum or Plasma","ng/mL","Scopolamine [Mass/Vol]"
"45324-1","Ethyl glucuronide","Urine","Qn","Ethyl glucuronide [Mass/volume] in Urine","mg/L","Ethyl glucuronide (U) [Mass/Vol]"
"3298-7","Acetaminophen","Ser/Plas","Qn","Acetaminophen [Mass/volume] in Serum or Plasma","ug/mL","Acetaminophen [Mass/Vol]"
"80200-9","Nonsteroidal antiinflammatory drugs","Urine","Ord","Nonsteroidal antiinflammatory drugs [Presence] in Urine by Screen method","","Nonsteroidal antiinflammatory drugs Screen Ql (U)"
"35112-2","Floxacillin","Ser/Plas","Qn","Floxacillin [Mass/volume] in Serum or Plasma","mg/L","Floxacillin [Mass/Vol]"
"3972-7","Piperacillin","Ser/Plas","Qn","Piperacillin [Mass/volume] in Serum or Plasma","ug/mL","Piperacillin [Mass/Vol]"
"16361-8","Amitriptyline^trough","Ser/Plas","Qn","Amitriptyline [Mass/volume] in Serum or Plasma --trough","ng/mL","Amitriptyline trough [Mass/Vol]"
"25589-3","Citalopram","Ser/Plas","Qn","Citalopram [Moles/volume] in Serum or Plasma","nmol/L","Citalopram [Moles/Vol]"
"35602-2","clomiPRAMINE","Ser/Plas","Qn","clomiPRAMINE [Mass/volume] in Serum or Plasma by Screen method","ug/mL","clomiPRAMINE Screen [Mass/Vol]"
"3862-0","Nordoxepin","Ser/Plas","Qn","Nordoxepin [Mass/volume] in Serum or Plasma","ng/mL","Nordoxepin [Mass/Vol]"
"74982-0","FLUoxetine^trough","Ser/Plas","Qn","FLUoxetine [Mass/volume] in Serum or Plasma --trough","ug/L","FLUoxetine trough [Mass/Vol]"
"22689-4","Zinc","Urine","Qn","Zinc [Moles/time] in 24 hour Urine","umol/(24.h)","Zinc (24H U) [Moles/Time]"
"3693-9","Imipramine^trough","Ser/Plas","Qn","Imipramine [Mass/volume] in Serum or Plasma --trough","ng/mL","Imipramine trough [Mass/Vol]"
"14334-7","Lithium","Ser/Plas","Qn","Lithium [Moles/volume] in Serum or Plasma","mmol/L","Lithium [Moles/Vol]"
"3872-9","Nortriptyline","Ser/Plas","Qn","Nortriptyline [Mass/volume] in Serum or Plasma","ug/mL","Nortriptyline [Mass/Vol]"
"6897-3","Norsertraline","Ser/Plas","Qn","Norsertraline [Mass/volume] in Serum or Plasma","ng/mL","Norsertraline [Mass/Vol]"
"48362-8","O-desmethylvenlafaxine","Ser/Plas","Qn","O-desmethylvenlafaxine [Moles/volume] in Serum or Plasma","nmol/L","O-desmethylvenlafaxine [Moles/Vol]"
"74973-9","carBAMazepine^trough","Ser/Plas","Qn","carBAMazepine [Mass/volume] in Serum or Plasma --trough","mg/L","carBAMazepine trough [Mass/Vol]"
"25425-0","Gabapentin","Ser/Plas","Qn","Gabapentin [Moles/volume] in Serum or Plasma","umol/L","Gabapentin [Moles/Vol]"
"48347-9","levETIRAcetam","Ser/Plas","Qn","levETIRAcetam [Moles/volume] in Serum or Plasma","mol/L","levETIRAcetam [Moles/Vol]"
"88895-8","Perampanel","Ser/Plas","Qn","Perampanel [Mass/volume] - Serum or Plasma","ng/mL","Perampanel [Mass/Vol]"
"48349-5","Pregabalin","Ser/Plas","Qn","Pregabalin [Moles/volume] in Serum or Plasma","","Pregabalin [Moles/Vol]"
"25541-4","Topiramate","Ser/Plas","Qn","Topiramate [Moles/volume] in Serum or Plasma","umol/L","Topiramate [Moles/Vol]"
"29620-2","Zonisamide","Ser/Plas","Qn","Zonisamide [Mass/volume] in Serum or Plasma","ug/mL","Zonisamide [Mass/Vol]"
"18337-6","Hydroxyitraconazole","Ser/Plas","Qn","Hydroxyitraconazole [Mass/volume] in Serum or Plasma","ug/mL","Hydroxyitraconazole [Mass/Vol]"
"53731-6","Posaconazole","Ser/Plas","Qn","Posaconazole [Mass/volume] in Serum or Plasma","ug/mL","Posaconazole [Mass/Vol]"
"23905-3","Mycophenolate","Ser/Plas","Qn","Mycophenolate [Mass/volume] in Serum or Plasma","ug/mL","Mycophenolate [Mass/Vol]"
"40756-9","Amiodarone^trough","Ser/Plas","Qn","Amiodarone [Mass/volume] in Serum or Plasma --trough","ug/mL","Amiodarone trough [Mass/Vol]"
"48354-5","ARIPiprazole","Ser/Plas","Qn","ARIPiprazole [Moles/volume] in Serum or Plasma","","ARIPiprazole [Moles/Vol]"
"14774-4","Haloperidol","Ser/Plas","Qn","Haloperidol [Moles/volume] in Serum or Plasma","nmol/L","Haloperidol [Moles/Vol]"
"74936-6","QUEtiapine^trough","Ser/Plas","Qn","QUEtiapine [Mass/volume] in Serum or Plasma --trough","ug/L","QUEtiapine trough [Mass/Vol]"
"74985-3","ALPRAZolam^trough","Ser/Plas","Qn","ALPRAZolam [Mass/volume] in Serum or Plasma --trough","ug/L","ALPRAZolam trough [Mass/Vol]"
"3487-6","cloBAZam","Ser/Plas","Qn","cloBAZam [Mass/volume] in Serum or Plasma","ug/mL","cloBAZam [Mass/Vol]"
"74975-4","Nordiazepam^trough","Ser/Plas","Qn","Nordiazepam [Mass/volume] in Serum or Plasma --trough","ug/L","Nordiazepam trough [Mass/Vol]"
"10343-2","Temazepam","Ser/Plas","Qn","Temazepam [Mass/volume] in Serum or Plasma","ng/mL","Temazepam [Mass/Vol]"
"74980-4","LORazepam^trough","Ser/Plas","Qn","LORazepam [Mass/volume] in Serum or Plasma --trough","ug/L","LORazepam trough [Mass/Vol]"
"69797-9","1-Hydroxymidazolam","Ser/Plas","Qn","1-Hydroxymidazolam [Mass/volume] in Serum or Plasma","ng/mL","1-Hydroxymidazolam [Mass/Vol]"
"4050-1","Thiopental","Ser/Plas","Qn","Thiopental [Mass/volume] in Serum or Plasma","ug/mL","Thiopental [Mass/Vol]"
"39800-8","Risperidone+9-Hydroxyrisperidone","Ser/Plas","Qn","risperiDONE+9-Hydroxyrisperidone [Moles/volume] in Serum or Plasma","nmol/L","risperiDONE+9-Hydroxyrisperidone [Moles/Vol]"
"14836-1","Methotrexate","Ser/Plas","Qn","Methotrexate [Moles/volume] in Serum or Plasma","umol/L","Methotrexate [Moles/Vol]"
"17010-0","Imipenem","Ser/Plas","Qn","Imipenem [Mass/volume] in Serum or Plasma","ug/mL","Imipenem [Mass/Vol]"
"20575-7","Hepatitis A virus Ab","Ser","Ord","Hepatitis A virus Ab [Presence] in Serum","","HAV Ab Ql (S)"
"16933-4","Hepatitis B virus core Ab","Ser","Ord","Hepatitis B virus core Ab [Presence] in Serum","","HBV core Ab Ql (S)"
"16933-4","Hepatitis B virus core Ab","Ser","Ord","Hepatitis B virus core Ab [Presence] in Serum","","HBV core Ab Ql (S)"
"48159-8","Hepatitis C virus Ab Signal/Cutoff","Ser/Plas","Qn","Hepatitis C virus Ab Signal/Cutoff in Serum or Plasma by Immunoassay","","HCV Ab Signal/Cutoff IA [Rel units/Vol]"
"30325-5","Cytomegalovirus Ab.IgM","Ser/Plas","Ord","Cytomegalovirus IgM Ab [Presence] in Serum or Plasma","","CMV IgM Ql"
"5388-4","Toxoplasma gondii Ab.IgG","Ser/Plas","Qn","Toxoplasma gondii IgG Ab [Units/volume] in Serum or Plasma by Immunoassay","[arb'U]/mL","T. gondii IgG IA Qn"
"39231-6","Syphilis screen test status","Ser","Nom","Syphilis screen test status CPHS","",""
"30339-6","Epstein Barr virus capsid Ab.IgG","Ser","Ord","Epstein Barr virus capsid IgG Ab [Presence] in Serum","","EBV capsid IgG Ql (S)"
"19162-7","Varicella zoster virus Ab.IgG","Ser","Ord","Varicella zoster virus IgG Ab [Presence] in Serum","","VZV IgG Ql (S)"
"8048-1","Varicella zoster virus Ab.IgM","Ser","Qn","Varicella zoster virus IgM Ab [Units/volume] in Serum","[arb'U]/mL","VZV IgM Qn (S)"
"41149-6","Herpes simplex virus 1+2 Ab.IgM","Ser","Ord","Herpes simplex virus 1+2 IgM Ab [Presence] in Serum","","HSV 1+2 IgM Ql (S)"
"2965-2","Specific gravity","Urine","Qn","Specific gravity of Urine","","Specific gravity (U) [Rel density]"
"33903-6","Ketones","Urine","Ord","Ketones [Presence] in Urine","","Ketones Ql (U)"
"33052-2","Leukocytes","Urine","Ord","Leukocytes [Presence] in Urine","","WBC Ql (U)"
"5821-4","Leukocytes","Urine sed","Qn","Leukocytes [#/area] in Urine sediment by Microscopy high power field","/[HPF]","WBC LM.HPF (Urine sed) [#/Area]"
"51480-2","Bacteria","Urine","Qn","Bacteria [#/volume] in Urine by Automated count","/uL","Bacteria Auto (U) [#/Vol]"
"87827-2","Casts","Urine","Ord","Casts [Presence] in Urine","","Casts Ql (U)"
"53967-6","Erythrocytes.dysmorphic/100 erythrocytes","Urine sed","Qn","Erythrocytes.dysmorphic/100 erythrocytes in Urine sediment by Light microscopy","%","RBC.dysmorphic/100 RBC LM (Urine sed)"
"25160-3","Granular casts","Urine sed","Ord","Granular casts [Presence] in Urine sediment by Light microscopy","","Granular casts LM Ql (Urine sed)"
"2004-0","Calcium","Urine","Qn","Calcium [Moles/volume] in Urine","mmol/L","Calcium (U) [Moles/Vol]"
"14637-3","Calcium","Urine","Qn","Calcium [Moles/time] in 24 hour Urine","mmol/(24.h)","Calcium (24H U) [Moles/Time]"
"2079-2","Chloride","Urine","Qn","Chloride [Moles/time] in 24 hour Urine","mmol/(24.h)","Chloride (24H U) [Moles/Time]"
"4544-3","Hematocrit","Bld","Qn","Hematocrit [Volume Fraction] of Blood by Automated count","%","Hematocrit Auto (Bld) [Volume fraction]"
